Job Name,Severity,File Name,Line,Message
grype,WARNING,Dependency: webpack-dev-server Version: 4.15.2 (npm),0,"GHSA-4v9v-hfq4-rm2v - webpack-dev-server users' source code may be stolen when they access a malicious web site
More information is available from these links:
https://github.com/advisories/GHSA-4v9v-hfq4-rm2v"
grype,WARNING,Dependency: webpack-dev-server Version: 4.15.2 (npm),0,"GHSA-9jgg-88mc-972h - webpack-dev-server users' source code may be stolen when they access a malicious web site with non-Chromium based browser
More information is available from these links:
https://github.com/advisories/GHSA-9jgg-88mc-972h"
grype,WARNING,Dependency: postcss Version: 7.0.39 (npm),0,"GHSA-7fh5-64p2-3v2j - PostCSS line return parsing error
More information is available from these links:
https://github.com/advisories/GHSA-7fh5-64p2-3v2j"
semgrep,WARNING,web-ui/src/components/MapView.js,154,"Rule ID: jsx-not-internationalized Message: JSX element not internationalized: 'Moderate Heat (28-31°C)'.  You should support different languages in your website or app with internationalization. Instead, use packages such as `i18next` in order to internationalize your elements."
semgrep,WARNING,cdk/package.json,26,Rule ID: package-dependencies-check Message: Package dependencies with variant versions may lead to dependency hijack and confusion attacks. Better to specify an exact version or use package-lock.json for a specific version of the package.
semgrep,WARNING,web-ui/src/components/MapView.js,164,"Rule ID: jsx-not-internationalized Message: JSX element not internationalized: '
          Showing '.  You should support different languages in your website or app with internationalization. Instead, use packages such as `i18next` in order to internationalize your elements."
semgrep,WARNING,web-ui/src/components/PhoneView.js,84,"Rule ID: jsx-not-internationalized Message: JSX element not internationalized: 'Location:'.  You should support different languages in your website or app with internationalization. Instead, use packages such as `i18next` in order to internationalize your elements."
semgrep,WARNING,cdk/package.json,32,Rule ID: package-dependencies-check Message: Package dependencies with variant versions may lead to dependency hijack and confusion attacks. Better to specify an exact version or use package-lock.json for a specific version of the package.
semgrep,WARNING,web-ui/src/components/PhoneView.js,74,"Rule ID: jsx-not-internationalized Message: JSX element not internationalized: 'Message Details'.  You should support different languages in your website or app with internationalization. Instead, use packages such as `i18next` in order to internationalize your elements."
semgrep,WARNING,web-ui/src/components/PhoneView.js,80,"Rule ID: jsx-not-internationalized Message: JSX element not internationalized: 'Temperature:'.  You should support different languages in your website or app with internationalization. Instead, use packages such as `i18next` in order to internationalize your elements."
semgrep,WARNING,web-ui/package.json,10,Rule ID: package-dependencies-check Message: Package dependencies with variant versions may lead to dependency hijack and confusion attacks. Better to specify an exact version or use package-lock.json for a specific version of the package.
semgrep,WARNING,cdk/package.json,25,Rule ID: package-dependencies-check Message: Package dependencies with variant versions may lead to dependency hijack and confusion attacks. Better to specify an exact version or use package-lock.json for a specific version of the package.
semgrep,WARNING,web-ui/package.json,8,Rule ID: package-dependencies-check Message: Package dependencies with variant versions may lead to dependency hijack and confusion attacks. Better to specify an exact version or use package-lock.json for a specific version of the package.
semgrep,WARNING,web-ui/src/components/MapView.js,140,"Rule ID: jsx-not-internationalized Message: JSX element not internationalized: 'Extreme Heat (≥35°C)'.  You should support different languages in your website or app with internationalization. Instead, use packages such as `i18next` in order to internationalize your elements."
semgrep,WARNING,web-ui/package.json,11,Rule ID: package-dependencies-check Message: Package dependencies with variant versions may lead to dependency hijack and confusion attacks. Better to specify an exact version or use package-lock.json for a specific version of the package.
semgrep,WARNING,web-ui/src/components/MapView.js,133,"Rule ID: jsx-not-internationalized Message: JSX element not internationalized: 'Temperature Legend'.  You should support different languages in your website or app with internationalization. Instead, use packages such as `i18next` in order to internationalize your elements."
semgrep,WARNING,web-ui/src/components/PhoneView.js,91,"Rule ID: jsx-not-internationalized Message: JSX element not internationalized: 'Care Type:'.  You should support different languages in your website or app with internationalization. Instead, use packages such as `i18next` in order to internationalize your elements."
semgrep,WARNING,cdk/package.json,31,Rule ID: package-dependencies-check Message: Package dependencies with variant versions may lead to dependency hijack and confusion attacks. Better to specify an exact version or use package-lock.json for a specific version of the package.
semgrep,WARNING,web-ui/src/components/PhoneView.js,76,"Rule ID: jsx-not-internationalized Message: JSX element not internationalized: 'Facility:'.  You should support different languages in your website or app with internationalization. Instead, use packages such as `i18next` in order to internationalize your elements."
semgrep,WARNING,web-ui/src/components/MapView.js,147,"Rule ID: jsx-not-internationalized Message: JSX element not internationalized: 'High Heat (32-34°C)'.  You should support different languages in your website or app with internationalization. Instead, use packages such as `i18next` in order to internationalize your elements."
semgrep,WARNING,web-ui/package.json,9,Rule ID: package-dependencies-check Message: Package dependencies with variant versions may lead to dependency hijack and confusion attacks. Better to specify an exact version or use package-lock.json for a specific version of the package.
semgrep,WARNING,cdk/package.json,28,Rule ID: package-dependencies-check Message: Package dependencies with variant versions may lead to dependency hijack and confusion attacks. Better to specify an exact version or use package-lock.json for a specific version of the package.
semgrep,WARNING,web-ui/src/components/MapView.js,161,"Rule ID: jsx-not-internationalized Message: JSX element not internationalized: 'Normal (&lt;28°C)'.  You should support different languages in your website or app with internationalization. Instead, use packages such as `i18next` in order to internationalize your elements."
semgrep,WARNING,web-ui/package.json,12,Rule ID: package-dependencies-check Message: Package dependencies with variant versions may lead to dependency hijack and confusion attacks. Better to specify an exact version or use package-lock.json for a specific version of the package.
semgrep,WARNING,cdk/package.json,27,Rule ID: package-dependencies-check Message: Package dependencies with variant versions may lead to dependency hijack and confusion attacks. Better to specify an exact version or use package-lock.json for a specific version of the package.
semgrep,WARNING,web-ui/package.json,13,Rule ID: package-dependencies-check Message: Package dependencies with variant versions may lead to dependency hijack and confusion attacks. Better to specify an exact version or use package-lock.json for a specific version of the package.
